"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000460",509.267304635041,-1.27343567786746,0.419153687603384,-3.03811159374178,0.00238065777078169,0.0141093598046151
"ENSG00000001084",36180.6096283618,1.7371406979296,0.272917425858671,6.36507798087311,1.95190541917557e-10,2.1105794530119e-08
"ENSG00000001460",235.934822914376,0.433927028904364,0.127733614411126,3.39712479682691,0.000680979029683119,0.00555776276338346
"ENSG00000001561",5538.73374320729,1.83958035440846,0.161688695584795,11.3772972671656,5.42551800790359e-30,8.17408543070755e-27
"ENSG00000001630",182.007135864348,-1.28221148153511,0.312871762047467,-4.098201362578,4.16372992379379e-05,0.000642215857368655
"ENSG00000001631",1351.50263413366,0.301943588997364,0.108295975987738,2.7881330422799,0.00530127679177908,0.0255962010172443
"ENSG00000002587",552.936518392962,-3.78822957515337,0.685512075481367,-5.52613106412936,3.2736961115095e-08,1.83578604018226e-06
"ENSG00000002726",1407.40219842255,-1.00129250738449,0.401927401423905,-2.49122728093984,0.0127302656148943,0.0485718846245139
"ENSG00000002745",23.8854319304158,7.72216515686096,1.36824911627761,5.64382981504821,1.66308472964665e-08,1.05277456037212e-06
"ENSG00000002746",107.148484283482,3.39048642005091,0.605803232714671,5.59667931261734,2.18496323549413e-08,1.31667241789691e-06
"ENSG00000002834",42466.811956989,-0.439420479172224,0.124666259271888,-3.52477472043081,0.000423843074744534,0.00385915779458168
"ENSG00000003056",8510.97937493298,-0.297242239650382,0.0835143996324173,-3.55917351928138,0.000372023686247946,0.00351772522406583
"ENSG00000003400",1143.76493930146,0.992574363631152,0.297386025963336,3.33766309434299,0.000844861222904679,0.00650528748770795
"ENSG00000003436",1577.13201946646,1.79581996413942,0.237476254447565,7.56210328614535,3.96603247303492e-14,9.84927119319958e-12
"ENSG00000003756",2334.48474609785,0.394518597032936,0.114598334987909,3.44262067223367,0.000576106773555661,0.00487619362381438
"ENSG00000004399",17468.1707067955,-1.66832980485473,0.263519115368495,-6.33096313533767,2.43635555667824e-10,2.58493893076862e-08
"ENSG00000004660",233.465870844414,-0.630450921624908,0.227606389252701,-2.76991750405103,0.00560704921614673,0.026673582241606
"ENSG00000004700",3847.38526037281,0.218295209732924,0.0784788940543146,2.7815785678866,0.00540952350690499,0.0259829589229641
"ENSG00000004779",2406.54474110154,-0.388965795524038,0.141908094785885,-2.74096975307095,0.00612581464028322,0.0283857463719008
"ENSG00000004799",1831.17801337278,2.96061827361776,0.512651746347129,5.77510618994957,7.69045680741742e-09,5.28257244349016e-07
"ENSG00000004846",4.83756216460864,-5.57758960344602,1.52972865967949,-3.64613002976268,0.000266219303730516,0.0027409066264264
"ENSG00000005022",7682.393997713,-0.621120152877393,0.230284696563357,-2.69718379964736,0.00699286612565429,0.0312624691540379
"ENSG00000005059",561.707580480388,1.77163670859673,0.354790186963924,4.9934771977695,5.93017901018021e-07,2.09400180392285e-05
"ENSG00000005073",981.221810935451,0.769503630085113,0.195426768164525,3.93755490771504,8.23160999616497e-05,0.00108029125611691
"ENSG00000005156",1146.04404194027,-0.30681686295933,0.116163151431849,-2.64125808552409,0.00825987717103891,0.0353064051803118
"ENSG00000005175",3641.63748771732,0.394138656147129,0.123936878772202,3.18015638324701,0.00147195593411625,0.00986206111920932
"ENSG00000005189",204.553023682211,-1.73456149294309,0.467023001434581,-3.71408150693849,0.000203943059824749,0.00219890706535282
"ENSG00000005302",1368.92468590901,0.415894887300764,0.165650067879362,2.51068347043267,0.012049768791074,0.046642377674051
"ENSG00000005339",11379.9258140124,0.677115356006448,0.201866490813159,3.35427317965894,0.000795737611723785,0.00621599526005732
"ENSG00000005471",1452.23957250816,-2.90248389159138,0.490370459955742,-5.9189615374738,3.23980713344888e-09,2.50251301596545e-07
"ENSG00000005486",1351.59185380093,-0.397774875339907,0.147055448588699,-2.70493122939258,0.00683185314842083,0.0307311005774607
"ENSG00000005810",6929.3375037445,-0.785884684045977,0.23119365725575,-3.39924846284437,0.000675713016462851,0.00552276255299963
"ENSG00000005844",6886.24089675458,-0.849624209773553,0.224637840304957,-3.78219541560829,0.000155451247486296,0.00176269078873196
"ENSG00000005882",1182.64780806569,0.984487311800915,0.208703593223316,4.71715554387939,2.39164843446881e-06,6.61552790337339e-05
"ENSG00000005884",9063.16933909865,-1.21491169686802,0.429941845090712,-2.82575820600036,0.00471688547184329,0.0234021722893933
"ENSG00000005889",3849.27631649144,0.36452166206279,0.1455646415533,2.5041909777885,0.0122731766417285,0.0472721125285941
"ENSG00000005893",21831.6908265132,-0.442744200656101,0.112576726399982,-3.93282177244205,8.39544860145845e-05,0.00109479943995591
"ENSG00000006015",666.452883073825,-0.478179271961301,0.163801999062096,-2.91925174722702,0.00350872739517936,0.0188212035138045
"ENSG00000006125",5851.4860830228,-0.975715289507405,0.236173974027364,-4.13134128570134,3.60652662625824e-05,0.00057763214193345
"ENSG00000006194",1572.83033253026,0.335372650219136,0.0853173883582979,3.93088275054446,8.46345412591289e-05,0.00110239538784729
"ENSG00000006282",1179.47395484615,-0.528812281876408,0.128034788187605,-4.13022342881965,3.6241084717039e-05,0.000580037020906773
"ENSG00000006451",4931.49177575509,0.867599235795494,0.287351734741865,3.01929353784789,0.00253364917326342,0.0147686194651999
"ENSG00000006468",1218.63748281824,-1.42735831803531,0.418700813978507,-3.40901729918439,0.000651973451959305,0.00537539147786514
"ENSG00000006576",1444.07061293555,-0.560718306142936,0.154720640236505,-3.62406919520126,0.000290003963723275,0.00292580338222424
"ENSG00000006606",51.8019480529094,-4.04089645802039,1.35173832416872,-2.98940733259555,0.00279519220760027,0.0158954576496121
"ENSG00000006625",382.600034777703,-0.866137302222347,0.288380613102814,-3.00345190650368,0.00266935735056102,0.0153498236044093
"ENSG00000006712",1636.95623210018,0.621209492410616,0.173869891894337,3.57284108043348,0.000353129083501481,0.00339930038212586
"ENSG00000006715",3156.42781844505,-0.353913101817745,0.106228378100687,-3.33162482705229,0.000863405685393487,0.00660531654847915
"ENSG00000006740",41.2575278482221,-1.32853543200199,0.522832473578276,-2.54103465094558,0.0110524965198148,0.0437741620839982
"ENSG00000006747",229.80699530071,-2.22631678585495,0.684178206966482,-3.25400131601096,0.00113791752649009,0.0081353363432931
"ENSG00000006756",2245.3403396372,-0.450667979383821,0.15288624466468,-2.94773398595967,0.00320112394089898,0.0176100778822727
"ENSG00000006757",193.628321896518,-1.02766473775026,0.260674752862442,-3.9423255473174,8.06953425391953e-05,0.00106770143210965
"ENSG00000007202",17460.1163208636,-0.906576095183322,0.212575950032987,-4.26471618752094,2.00156461338743e-05,0.000372291018090061
"ENSG00000007264",1426.77971364968,-1.77500922022734,0.334910301906054,-5.29995407763017,1.158318115185e-07,5.39728475980737e-06
"ENSG00000007372",17.4454187635327,3.57563961930916,0.694137611355127,5.15119705490189,2.58829055227242e-07,1.05773559115379e-05
"ENSG00000007402",5.55262091227632,1.90925302843255,0.692242758818621,2.75806861698471,0.00581439915506067,0.0273323366735797
"ENSG00000007520",1042.33482053623,-0.440297058889721,0.100655845726905,-4.37428204700915,1.21832777103837e-05,0.000247154302492784
"ENSG00000007866",152.274809056831,1.75523272869984,0.649974743885931,2.70046297215492,0.00692430442949201,0.0310727473792871
"ENSG00000007944",424.439182688191,1.19020332960585,0.336633436431165,3.53560639199672,0.000406840382948291,0.00374813934539275
"ENSG00000007968",509.572569630503,-1.75520776295509,0.565745953896247,-3.10246631172015,0.0019191538980205,0.0119908650653484
"ENSG00000008086",203.110609437557,0.787046010422572,0.216891053636722,3.62876198545663,0.0002847836505147,0.00288602050133709
"ENSG00000008277",236.649935010454,-0.940540244547481,0.250912761679184,-3.74847512040879,0.000177912982306253,0.00197769576347222
"ENSG00000008853",3251.18251746186,-0.491251940756408,0.088516571501514,-5.54983018911894,2.85947206117884e-08,1.64850023241277e-06
"ENSG00000008988",19517.2146778171,-0.377714865756725,0.133839355190971,-2.82215096761171,0.00477027157352546,0.023613080636853
"ENSG00000009307",71265.825245717,-0.52705829405046,0.162156899455876,-3.25029829639705,0.00115284015593518,0.00819535535828219
"ENSG00000009335",7878.86459842692,-0.418115844180047,0.136102749479504,-3.07206023228069,0.00212586823851622,0.0129424828454278
"ENSG00000009780",454.471847074059,-0.687670417759903,0.198435210148847,-3.46546571671468,0.000529314007235278,0.0045638944103434
"ENSG00000009790",555.239529508798,-1.73073906806141,0.490263790546951,-3.5302200599611,0.000415214155575433,0.00379434884830134
"ENSG00000009950",475.743232707436,-3.02195406480932,0.539081767943859,-5.60574340389125,2.07362980039093e-08,1.25973010373749e-06
"ENSG00000010017",2750.36661978262,0.505815429013967,0.137285597874758,3.68440271116719,0.000229239562405635,0.00240621684663491
"ENSG00000010072",1936.39132529366,0.483863862542375,0.133730258758987,3.61820777909665,0.00029665019869397,0.00297031361997564
"ENSG00000010256",11539.2162444981,-0.623748074342595,0.137845268253881,-4.52498719937045,6.03991613012407e-06,0.000142183400650702
"ENSG00000010278",251.686192034304,-1.28547135108278,0.392837475251652,-3.27227271344036,0.00106686613825411,0.00772759867256561
"ENSG00000010327",364.434229348025,-2.49660000326187,0.897073498934964,-2.78304955639189,0.00538505802086456,0.0258984733376289
"ENSG00000010404",8169.77820585803,-0.838674372553274,0.172098105485674,-4.87323419503353,1.09785947269544e-06,3.45550504504793e-05
"ENSG00000010610",6313.26855331351,-1.37367914361519,0.392665146574866,-3.49834752485036,0.000468150686331967,0.00418006217321854
"ENSG00000010671",2536.98621818457,0.514395288573225,0.135963129705405,3.78334398220886,0.000154735332539832,0.00175810144799782
"ENSG00000010803",2481.90921400935,-1.10221601001789,0.28206854522558,-3.90761759393062,9.32106786721749e-05,0.00118808129008036
"ENSG00000010818",4333.82953876499,0.97817919746732,0.339284946048395,2.88306100479858,0.00393831161741954,0.0205404810159391
"ENSG00000011028",8350.98058084593,-1.19375641398276,0.32517089583691,-3.67116623678857,0.000241446229400945,0.00251449001761841
"ENSG00000011083",19.6271347400429,-4.59038481154845,0.762906986460606,-6.01696523038131,1.77717234013404e-09,1.48200434371547e-07
"ENSG00000011198",712.376395448078,0.672029423120409,0.183092832080191,3.67042999709609,0.000242142780067616,0.00252058253650302
"ENSG00000011201",2404.40070303003,-3.54270012686749,0.717437571150675,-4.93799080132571,7.89315648757367e-07,2.61881071130354e-05
"ENSG00000011295",543.441583925925,-1.17512266208358,0.346048523592209,-3.39583203501358,0.000684203319504262,0.00557017085033784
"ENSG00000011566",1096.27581537846,0.529734672888282,0.17382400762061,3.04753457327072,0.00230726982770227,0.013797827688871
"ENSG00000011638",324.391292355648,-0.742556321945475,0.152874120421277,-4.85730560476295,1.18993865505674e-06,3.66368169831433e-05
"ENSG00000012124",295.889840934965,-1.19618179287135,0.419930803112578,-2.84852119445657,0.00439229276857989,0.0222310020777462
"ENSG00000012174",2380.64735900349,-0.413851255800383,0.117068535203345,-3.53511945017109,0.000407590863104098,0.00375046657788661
"ENSG00000012211",679.583950048439,0.499449250520564,0.153805533446861,3.24727751549407,0.0011651471965377,0.00825545880357565
"ENSG00000012779",510.861981808564,-1.39873677889751,0.52422902665244,-2.6681788069413,0.00762636588329557,0.0333749501542596
"ENSG00000012817",975.24576009017,-0.319891920344364,0.106133302846905,-3.01405790419809,0.00257778601526908,0.0149641372101377
"ENSG00000013275",4328.71399615957,0.314353766104437,0.098036872428881,3.2064850531873,0.00134367285171579,0.00920450523671569
"ENSG00000013288",6054.67017401645,-0.444180637114627,0.125171747780792,-3.54856942552646,0.000387329876281795,0.00362675702392139
"ENSG00000013306",3203.59891820407,-0.616017500263815,0.204235407576014,-3.0162130434437,0.00255953355525901,0.0148734633106964
"ENSG00000013374",4925.0339304018,1.08546286645793,0.27421391658464,3.95845287495787,7.5436820827848e-05,0.00101536433227429
"ENSG00000013375",2609.21598573804,0.878003703322801,0.175616360389013,4.99955528845895,5.74626937588364e-07,2.0418229815345e-05
"ENSG00000013392",358.969924550361,0.413681868996379,0.124492125141768,3.32295611891346,0.000890689244472147,0.0067432784709635
"ENSG00000013523",1965.21768579425,-1.21268104029237,0.250671400107821,-4.83773194616844,1.31329088290261e-06,3.97842636229437e-05
"ENSG00000014257",1442.72595052784,-1.40866703114698,0.510839433299141,-2.7575534293612,0.00582356953806461,0.0273610910583622
"ENSG00000014641",8749.07016592462,-0.748666098201401,0.246748238845761,-3.03412944993452,0.00241230896133067,0.0142314578723077
"ENSG00000014914",438.107579403096,1.03478957366023,0.237212800875687,4.36228386427815,1.28711717883502e-05,0.000257356166578916
"ENSG00000015133",980.047637309353,1.14179671728015,0.345916262467191,3.30078935617676,0.000964132383014415,0.00718141981665879
"ENSG00000015153",484.476755545232,0.753585599517245,0.195979054480027,3.84523540802186,0.000120436759516291,0.00144773953633439
"ENSG00000015171",754.709208487103,-0.48327321799993,0.169630554492975,-2.84897505313493,0.00438603194561546,0.0222092619177602
"ENSG00000015413",23.3665950605031,1.52837403613413,0.438932863963682,3.48202233556289,0.000497642181829764,0.00437936747163974
"ENSG00000015475",4416.94341137183,-0.375486524745714,0.144165569044947,-2.60455063739004,0.00919948258779366,0.0381396270411941
"ENSG00000016391",45.2867878224632,-5.18218731025165,1.23984386498282,-4.17970960426011,2.91881582247034e-05,0.000491522494575315
"ENSG00000016402",8.33071604605526,-2.79169563288267,0.953134365630551,-2.92896335873464,0.00340094510734201,0.0183870714068952
"ENSG00000017260",4260.02096836191,-0.706336155007598,0.178252768560581,-3.96255362938468,7.41523431308805e-05,0.00100345437270345
"ENSG00000017427",35.6349526351235,-3.67734532593994,0.758128527199817,-4.85055659298614,1.23115498586719e-06,3.76493525380416e-05
"ENSG00000018189",300.012710388922,-0.708405660008343,0.226891678071215,-3.12221966900873,0.00179492955237859,0.0113795936591516
"ENSG00000019144",2313.1452799152,1.03025977347927,0.284303051644772,3.62380835351196,0.000290296740805956,0.00292745026571789
"ENSG00000019549",131.662751031025,3.25311527132954,0.436042137624453,7.46055252607566,8.61603983229456e-14,1.94713884170025e-11
"ENSG00000019582",25832.7073234722,1.29803948498197,0.402669403089027,3.22358608581687,0.00126596240625512,0.00880562770666647
"ENSG00000019991",101.22401745733,2.14296083549846,0.535360039180451,4.00284047867857,6.25865037026057e-05,0.000881241368956503
"ENSG00000020256",1011.94276722861,0.461442621683631,0.1475343836044,3.12769545925611,0.00176182629819847,0.0112251233473322
"ENSG00000021355",1437.13755934876,0.292691383123209,0.0928432370583885,3.15253315585213,0.00161860438747907,0.0105414526088298
"ENSG00000021762",801.17223800637,1.12596768487437,0.3121806988197,3.60678187066484,0.000310018060983099,0.00307554791929633
"ENSG00000022267",510.365939111165,-1.9963013542417,0.48427472325855,-4.12224974454406,3.75190112265342e-05,0.000594594764872683
"ENSG00000022277",2612.7912564955,0.196547671774717,0.0635802818980046,3.09133061237475,0.00199261634684987,0.0123256970202184
"ENSG00000022567",1865.93438984293,-0.734584675373051,0.183535074896493,-4.00242120361643,6.26975519078527e-05,0.000882255277438084
"ENSG00000023228",5133.30264035435,-0.686533649792993,0.181715530668644,-3.778068100546,0.000158049664436352,0.00178856503084483
"ENSG00000023445",4351.39817288381,1.78470061124846,0.495002323510169,3.60543885651437,0.000311625858604075,0.00308743216948421
"ENSG00000023516",6592.37383233756,-0.863476301724481,0.185118054341375,-4.66446292770639,3.09424106254656e-06,8.24607945430302e-05
"ENSG00000023839",26.2042756225629,-2.41983031214342,0.806815104617259,-2.99923774145422,0.00270656022236621,0.015528193568229
"ENSG00000024422",2249.67579795883,0.502633027329008,0.184018305039031,2.73142950220305,0.00630602306690075,0.0290149481113105
"ENSG00000024526",722.374340383159,-2.81204460790859,0.700743216695807,-4.01294588503923,5.99656641564179e-05,0.000853229340966682
"ENSG00000025039",6974.28669007515,-0.403067143754806,0.161362003176786,-2.49790617257776,0.0124929255209741,0.0479171119905793
"ENSG00000025434",1837.25763067666,1.5174178159253,0.351254465804676,4.31999579691921,1.56032172585938e-05,0.000301639954514081
"ENSG00000025800",7248.84380792534,-0.318415144966325,0.0957169499008156,-3.32663279906302,0.000879021236866299,0.00669014451624439
"ENSG00000026103",263.120356572258,1.88414733671716,0.54580414998262,3.45205754990532,0.000556329054385882,0.00473183300717597
"ENSG00000026508",50346.7909750777,-0.791860589702561,0.233796550803076,-3.38696437985321,0.0007067056265328,0.00570183522099777
"ENSG00000026559",1078.09455206582,-0.55390247262874,0.203733005875944,-2.71876650642469,0.00655258453263519,0.0297711817155253
"ENSG00000026652",1189.42522301142,-0.998139531303139,0.183278656222411,-5.44602165836422,5.15088673731753e-08,2.67597446842848e-06
"ENSG00000027001",340.145036983001,-0.949914828128555,0.203158992149667,-4.6757213061421,2.92922191453831e-06,7.89516098388165e-05
"ENSG00000027869",359.243235809681,2.98418459621058,0.363269324248396,8.21479931559003,2.12519369395134e-16,7.06283121905974e-14
"ENSG00000028528",4191.39291093036,0.265733911319552,0.0680697851487395,3.9038453072666,9.4676307898009e-05,0.00120158840496435
"ENSG00000028839",658.600150077175,0.6558519574177,0.172907852050033,3.79307214589607,0.000148794902353422,0.00170445272531006
"ENSG00000029364",5899.7449130032,-0.793952949557096,0.170914221511574,-4.64532993530519,3.39533377456514e-06,8.81530972439318e-05
"ENSG00000029534",91.5999905455844,1.09721295668621,0.362710968061373,3.02503385147305,0.00248605300582545,0.0145738811617768
"ENSG00000029725",1990.71460842343,-0.406970645736306,0.131556901698803,-3.09349521371412,0.00197813743853717,0.0122678177753846
"ENSG00000029993",4469.18510512375,0.993194468078123,0.305637836015366,3.24957957112414,0.00115575739168005,0.00821350984106209
"ENSG00000030110",5383.85720150854,0.660501149394098,0.205213870292247,3.21859895948296,0.00128818512164068,0.00892449281543768
"ENSG00000030419",903.408332943995,1.22281372406837,0.256142773417006,4.77395363435687,1.80643987781508e-06,5.24726668364304e-05
"ENSG00000031003",2507.39139453849,-0.679544349704141,0.178588703502738,-3.80508025634289,0.00014175821908579,0.00163866700415334
"ENSG00000032444",3472.21085122604,-1.07098799923033,0.313544885489965,-3.41574061256569,0.000636088059069497,0.00526555093293464
"ENSG00000033011",786.140358279264,-0.480174198131241,0.149473043725951,-3.21244678078283,0.00131609529532085,0.00906781633504752
"ENSG00000033030",1316.63156670919,0.345904742719845,0.132849256012963,2.6037386516195,0.00922130433296312,0.0381950616973302
"ENSG00000033327",1837.19949061268,-0.82783189386125,0.263961917417931,-3.13617927146114,0.00171164540126796,0.0109796975371145
"ENSG00000033627",3949.41440702189,-1.40022405086865,0.313241782025563,-4.47010626045531,7.81807453926827e-06,0.000175452499019785
"ENSG00000035115",358.250725620454,-1.32885010132551,0.292238883362594,-4.54713652760828,5.43807237181531e-06,0.000131003127840162
"ENSG00000035141",1189.66983597191,-0.604507399617873,0.125518151395593,-4.81609546425408,1.4639450650349e-06,4.37583551011895e-05
"ENSG00000035499",323.70430265194,-2.15975313647138,0.513456572074658,-4.20630147501032,2.59583904548223e-05,0.000454050824991122
"ENSG00000035664",397.124300548171,-1.53688719808399,0.314794771724645,-4.8821878129168,1.04915257285884e-06,3.32535750266998e-05
"ENSG00000035862",12143.2293496843,-0.820676281600251,0.248653904748158,-3.3004761474848,0.000965209179183711,0.0071870715783765
"ENSG00000036257",5032.47202587121,-0.341648649452433,0.12337521127565,-2.76918390590722,0.00561969045802682,0.0267025125839751
"ENSG00000037042",185.661000230771,-0.452607591330827,0.153440043509695,-2.94973581197029,0.00318045760216924,0.0175262524631608
"ENSG00000037280",107.940679565651,1.66126207872121,0.556824437447369,2.98345756220196,0.00285011557284795,0.0160943932610672
"ENSG00000037637",2101.96781931734,-0.194650125778925,0.0694904567136927,-2.80110586380087,0.00509278091794198,0.0247828931878921
"ENSG00000037757",499.843407535696,-0.445179706025547,0.127908027174197,-3.480467300299,0.000500539920107783,0.00439460048737987
"ENSG00000038358",2899.66191197646,0.232204324999265,0.0845931214645549,2.74495515686296,0.00605191666982039,0.0281009379127329
"ENSG00000038532",2452.56298668944,-0.278573148406532,0.103459196095616,-2.69258953209996,0.00708994965196838,0.0316089509143487
"ENSG00000039068",5.47059437268448,2.37038490597827,0.922919792907684,2.56835417789698,0.0102182693756737,0.0412509234763932
"ENSG00000039319",5884.15846386694,-0.715382598682299,0.223066617553516,-3.20703566731885,0.00134110367110729,0.00919247857547881
"ENSG00000039600",6.30715172285448,3.33909174758613,0.57817453796264,5.77523140218584,7.68473981936419e-09,5.28257244349016e-07
"ENSG00000040487",1596.75803124335,0.49993682532235,0.170453506838816,2.93298057983107,0.00335724890995151,0.0182409240590009
"ENSG00000040633",1661.76563569667,0.779598331865938,0.211508836738328,3.68589012113206,0.000227904671779402,0.00239461475604837
"ENSG00000041357",6580.94546226908,0.56708138891175,0.140732103969375,4.02950977720871,5.58932912152112e-05,0.000805055760466894
"ENSG00000041880",377.286568798474,0.418350705409185,0.162932226044864,2.56763634527396,0.0102394512400583,0.0413069187029772
"ENSG00000042429",2686.70844899968,0.662829138138144,0.160333141544971,4.13407441375574,3.56387997337657e-05,0.000572017922715463
"ENSG00000043355",8995.34841391707,1.27458194649665,0.307102736379284,4.15034382800971,3.31976214157403e-05,0.000540903422043485
"ENSG00000043462",4829.7910776289,1.01985124440323,0.272306121631014,3.74523803686343,0.000180222815457376,0.00199649774829473
"ENSG00000043591",3175.51383754807,2.80020626839673,0.480580984659914,5.82671049787437,5.65305514855233e-09,4.01740230509856e-07
"ENSG00000044115",16709.0732079794,-0.373711563165026,0.10406644721981,-3.5910860142623,0.000329302926252289,0.00322116999052633
"ENSG00000044524",69.0408410070242,3.8803794777684,0.471319366224785,8.2330151397126,1.82559112662367e-16,6.15769162247288e-14
"ENSG00000044574",76031.4197008737,1.1587351807797,0.181243852083494,6.39323854276673,1.62408591196106e-10,1.77307814127575e-08
"ENSG00000047056",1784.478811029,-0.367528297036292,0.139128566898167,-2.64164510014178,0.00825044583383147,0.0352927929961683
"ENSG00000047249",6439.83299272178,-0.433633262979479,0.160688170323029,-2.69860103645309,0.00696315974776435,0.0311909903544431
"ENSG00000047315",6831.32041742894,-0.356989135460148,0.127976523149009,-2.78948924909054,0.00527912491251072,0.025508433589444
"ENSG00000047578",1088.4539874929,-0.279825106037027,0.10592167639587,-2.64181153054275,0.00824639297864099,0.0352821345937728
